Data,Nome,Edicao,Num,Extras,Qtd,Preco_Unit,Preco_Total
2025-01-08,"Force of Will","Magic 2012","256","",4,404.72,1618.89
2025-01-08,"Cabal Coffers","Phyrexia: All Will Be One","7","Foil",1,10.38,10.38
2025-01-08,"Verdant Catacombs","Phyrexia: All Will Be One","216","Etched",2,24.81,49.62
2025-01-08,"Vampiric Tutor","Streets of New Capenna","291","Foil",1,18.23,18.23
2025-01-08,"Dark Confidant","The Lord of the Rings","217","",1,3.87,3.87
2025-01-08,"Sheoldred, the Apocalypse","Alpha","165","Prerelease",2,126.31,252.61
2025-01-08,"Avacyn, Angel of Hope","Ixalan","138","",3,10.58,31.74
2025-01-08,"Teferi's Protection","The Lord of the Rings","105","",3,11.07,33.22
2025-01-08,"Arid Mesa","Future Sight","176","Prerelease",1,1.50,1.50
2025-01-08,"Vraska the Unseen","Revised","169","",1,1.99,1.99
2025-01-08,"Liliana's Triumph","Magic 2010","226","Prerelease",3,1.50,4.51
2025-01-08,"Kodama's Reach","Modern Horizons 2","145","",2,2.06,4.12
2025-01-08,"Brisela, Voice of Nightmares","The Lord of the Rings","94","",3,18.46,55.39
2025-01-08,"Ragavan, Nimble Pilferer","Dominaria United","243","Foil",2,568.04,1136.08
2025-01-08,"Thoughtseize","Phyrexia: All Will Be One","193","",4,14.03,56.11
2025-01-08,"Gaea's Cradle","Dominaria United","143","Foil",4,953.25,3813.01
2025-01-08,"Fyndhorn Elves","Innistrad: Midnight Hunt","14","",2,19.86,39.71
2025-01-08,"Fabled Passage","Fourth Edition","126","Foil",3,7.46,22.37
2025-01-08,"Nicol Bolas, the Ravager","Modern Horizons 2","59","Prerelease",4,2.88,11.53
2025-01-08,"Urborg, Tomb of Yawgmoth","March of the Machine","21","",1,12.16,12.16
2025-01-08,"Mana Crypt","Time Spiral","105","",4,331.54,1326.17
2025-01-08,"Jitte","Revised","253","",4,19.38,77.50
2025-01-08,"Lightning Bolt","Commander Masters","288","Etched",2,13.70,27.39
2025-01-08,"Force of Will","Modern Horizons 2","235","Prerelease",3,378.09,1134.26
2025-01-08,"Craterhoof Behemoth","The Brothers' War","207","",1,14.04,14.04
2025-01-08,"Sword of Fire and Ice","March of the Machine","71","Prerelease",4,13.51,54.03
2025-01-08,"Tamiyo, Field Researcher","The Lost Caverns of Ixalan","238","Etched",1,21.90,21.90
2025-01-08,"Birds of Paradise","Innistrad: Midnight Hunt","8","",1,16.07,16.07
2025-01-08,"Cabal Coffers","Magic 2012","84","Prerelease",2,4.47,8.95
2025-01-08,"Mox Diamond","Beta","247","",3,1625.89,4877.66
2025-01-08,"Sylvan Library","Commander Masters","32","Foil",1,10.78,10.78
2025-01-08,"Sword of War and Peace","Modern Horizons 2","173","",2,13.03,26.05
2025-01-08,"Ob Nixilis Reignited","Modern Horizons 2","182","",3,11.23,33.68
2025-01-08,"Scalding Tarn","The Brothers' War","245","",1,13.29,13.29
2025-01-08,"Kiora, Behemoth Beckoner","Streets of New Capenna","90","Prerelease",1,10.43,10.43
2025-01-08,"Elesh Norn, Grand Cenobite","Strixhaven","187","Foil",1,10.30,10.30
2025-01-08,"Field of the Dead","Magic 2011","259","Prerelease",1,4.49,4.49
2025-01-08,"Elvish Mystic","Magic 2010","211","",3,2.02,6.05
2025-01-08,"Karn, Scion of Urza","Future Sight","121","Prerelease",2,10.67,21.34
2025-01-08,"Wrath of God","Modern Horizons 2","222","Foil",4,17.88,71.53
2025-01-08,"Xenagos, God of Revels","Ixalan","277","Prerelease",4,8.87,35.47
2025-01-08,"Griselbrand","Ixalan","297","Prerelease",4,20.73,82.91
2025-01-08,"Sword of Fire and Ice","Magic 2010","41","Prerelease",1,19.56,19.56
2025-01-08,"Sensei's Divining Top","Magic 2013","234","Etched",4,2.76,11.05
2025-01-08,"Mox Diamond","Modern Horizons 2","253","",4,4097.05,16388.19
2025-01-08,"Wooded Foothills","The Brothers' War","104","",2,9.31,18.63
2025-01-08,"Misty Rainforest","Unlimited","251","",2,16.10,32.20
2025-01-08,"Xenagos, the Reveler","Innistrad: Midnight Hunt","257","Prerelease",1,15.85,15.85
2025-01-08,"Felidar Guardian","Future Sight","161","",4,14.53,58.13
2025-01-08,"Sheoldred, the Apocalypse","Ikoria: Lair of Behemoths","192","Foil",1,326.18,326.18
2025-01-08,"Batterskull","Beta","82","",1,0.97,0.97
2025-01-08,"Demonic Tutor","Ikoria: Lair of Behemoths","230","",4,1.99,7.95
2025-01-08,"Path to Exile","Magic 2010","49","Prerelease",3,28.56,85.68
2025-01-08,"Xenagos, the Reveler","The Lost Caverns of Ixalan","227","",3,9.41,28.23
2025-01-08,"Jitte","Zendikar Rising","66","Etched",4,10.55,42.18
2025-01-08,"Ral Zarek","Fourth Edition","27","Etched",3,16.02,48.07
2025-01-08,"Scute Swarm","Innistrad: Midnight Hunt","13","",3,7.00,20.99
2025-01-08,"Swords to Plowshares","Streets of New Capenna","195","",4,9.81,39.23
2025-01-08,"Polluted Delta","Ixalan","221","",3,8.29,24.87
2025-01-08,"Tundra","Theros Beyond Death","180","Foil",3,13.32,39.95
2025-01-08,"Craterhoof Behemoth","Wilds of Eldraine","215","",2,16.63,33.25
2025-01-08,"Liliana of the Veil","Commander Masters","254","",1,1.96,1.96
2025-01-08,"Sylvan Library","Modern Horizons 2","122","",4,20.30,81.18
2025-01-08,"Counterspell","Ixalan","165","Etched",2,29.78,59.55
2025-01-08,"Force of Will","Dominaria United","248","",3,280.60,841.79
2025-01-08,"Mystic Remora","Future Sight","54","Foil",2,10.50,20.99
2025-01-08,"Thoughtseize","Beta","294","",2,19.20,38.40
2025-01-08,"Cabal Coffers","Ikoria: Lair of Behemoths","255","Prerelease",4,22.40,89.61
2025-01-09,"Vraska the Unseen","Magic 2013","77","Foil",4,26.40,105.58
2025-01-09,"Arid Mesa","Magic 2011","109","",2,11.35,22.70
2025-01-09,"Saheeli Rai","Ixalan","281","Etched",4,5.99,23.95
2025-01-09,"Dark Depths","Wilds of Eldraine","220","Prerelease",1,6.39,6.39
2025-01-09,"Aether Vial","The Brothers' War","114","Foil",3,30.45,91.34
2025-01-09,"Narset, Parter of Veils","Modern Horizons 2","240","",1,17.81,17.81
2025-01-09,"Misty Rainforest","The Brothers' War","61","",2,18.64,37.28
2025-01-09,"Kiora, Behemoth Beckoner","Phyrexia: All Will Be One","264","",3,17.44,52.33
2025-01-09,"Xenagos, the Reveler","Alpha","179","Prerelease",2,16.69,33.39
2025-01-09,"Xenagos, God of Revels","Wilds of Eldraine","86","Foil",4,1.48,5.92
2025-01-09,"Wooded Foothills","Unlimited","128","",4,18.84,75.35
2025-01-09,"Teferi's Protection","Future Sight","55","",1,11.50,11.50
2025-01-09,"Saheeli Rai","Time Spiral","289","",3,3.06,9.17
2025-01-09,"Craterhoof Behemoth","Phyrexia: All Will Be One","59","",4,16.15,64.60
2025-01-09,"Dark Ritual","Unfinity","39","Foil",1,5.85,5.85
2025-01-09,"Doubling Season","Ixalan","168","",2,624.47,1248.93
2025-01-09,"Field of the Dead","Magic 2013","99","",4,3.90,15.62
2025-01-09,"Nicol Bolas, the Ravager","Ixalan","93","",2,15.80,31.61
2025-01-09,"Lightning Bolt","Unfinity","25","Etched",3,4.63,13.90
2025-01-09,"Esper Sentinel","Unfinity","281","",1,18.51,18.51
2025-01-09,"Urborg, Tomb of Yawgmoth","Ixalan","286","",2,10.12,20.25
2025-01-09,"Rhystic Study","Unfinity","163","Foil",2,24.04,48.08
2025-01-09,"Path to Exile","Dominaria United","241","Foil",4,22.26,89.03
2025-01-09,"Brainstorm","Dominaria United","95","",4,17.49,69.95
2025-01-09,"Marsh Flats","Innistrad: Midnight Hunt","158","Prerelease",1,24.80,24.80
2025-01-09,"Hangarback Walker","Unlimited","182","Prerelease",3,26.72,80.16
2025-01-09,"Chandra, Torch of Defiance","Ixalan","133","Prerelease",1,27.36,27.36
2025-01-09,"Gaea's Cradle","March of the Machine","202","Etched",4,1237.63,4950.50
2025-01-09,"Dark Depths","Dominaria United","88","",3,6.85,20.54
2025-01-09,"Phyrexian Obliterator","Alpha","51","Etched",2,29.01,58.01
2025-01-09,"Craterhoof Behemoth","Fourth Edition","90","",3,12.45,37.36
2025-01-09,"Birds of Paradise","Ixalan","131","Foil",2,4.74,9.48
2025-01-09,"Mana Crypt","Zendikar Rising","145","",4,291.62,1166.50
2025-01-09,"Urza's Saga","Time Spiral","74","",1,4.97,4.97
2025-01-09,"Ragavan, Nimble Pilferer","Ixalan","245","",3,323.85,971.54
2025-01-09,"Supreme Verdict","Innistrad: Midnight Hunt","146","Prerelease",4,7.74,30.96
2025-01-09,"Supreme Verdict","Adventures in the Forgotten Realms","196","",2,2.94,5.88
